,NQ1 Index,,,,NKY Index,,,,XIN9I Index,,,,HSI Index,,,,DAX Index,,,,UKX Index,,,,MXIN Index,,,,SPX Index,,,,USYC2Y10 Index,,,,USYC1030 Index,,,,XAU Curncy,,,,CLZ3 Comdty,,,,DXY Curncy,,,
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
2/1/2018,6410,6528,6404,6520,22831.49,22881.21,22753.2,22764.94,13195.72,13443.23,13195.72,13424.28,30028.29,30515.31,30028.29,30515.31,12897.69,12924.16,12745.15,12871.39,7687.77,7691.34,7624.14,7648.1,1259.75,1261.48,1248.19,1253.19,2683.73,2695.89,2682.36,2695.81,51.121,55.285,51.121,54.015,32.616,35.03,32.539,34.849,1303.45,1314.61,1302.59,1312.52,#N/A N/A,#N/A N/A,#N/A N/A,51.49,92.209,92.23,91.751,91.872
3/1/2018,6519,6597,6518,6590,22831.49,22881.21,22753.2,22764.94,13424.28,13597.96,13393.94,13422.47,30658.73,30724.32,30456.76,30560.95,12916.18,13023.59,12893.05,12978.21,7648.1,7689.86,7640.53,7671.11,1257.22,1262.01,1252.77,1254.46,2697.85,2714.37,2697.77,2713.06,53.411,54.559,50.633,51.176,34.584,35.305,33.354,33.665,1312.52,1321.56,1311.92,1315.87,#N/A N/A,#N/A N/A,#N/A N/A,51.57,91.865,92.261,91.806,92.162
4/1/2018,6590,6623,6586,6609,23073.73,23506.33,23065.2,23506.33,13422.47,13547.75,13419.33,13490.75,30691.71,30796.93,30560.43,30736.48,13065.98,13208.35,13062.67,13167.89,7671.11,7702.51,7671.11,7695.88,1257.86,1262.9,1253.4,1262.02,2719.31,2729.29,2719.07,2723.99,51.095,51.918,49.117,49.701,33.797,34.006,32.215,33.194,1315.88,1320.1,1305.98,1319.74,#N/A N/A,#N/A N/A,#N/A N/A,51.52,92.246,92.261,91.798,91.853
5/1/2018,6614,6677,6606,6674,23643,23730.47,23520.52,23714.53,13490.75,13618.34,13479.58,13565.95,30893.86,30911.01,30638.53,30814.64,13219.11,13332.8,13219.11,13319.64,7695.88,7727.73,7689.81,7724.22,1266.18,1272.72,1264.78,1272.25,2731.33,2743.45,2727.92,2743.15,49.883,51.641,48.78,51.236,32.935,34.318,32.661,33.239,1319.74,1326.07,1313.77,1319.59,#N/A N/A,#N/A N/A,#N/A N/A,51.83,91.822,92.1,91.775,91.949
8/1/2018,6674,6697,6661,6695,23643,23730.47,23520.52,23714.53,13565.95,13640.42,13526.17,13611.72,30895.09,30929.15,30732.54,30899.53,13399.62,13407.82,13334.16,13367.78,7724.22,7733.39,7691.77,7696.51,1276.02,1282.31,1276.02,1281.47,2742.67,2748.51,2737.6,2747.71,50.643,52.182,50.365,52,32.817,33.761,32.372,32.948,1319.59,1322.2,1314.91,1318.22,#N/A N/A,#N/A N/A,#N/A N/A,52.29,92.022,92.396,91.882,92.358
9/1/2018,6696,6714,6675,6694,23948.97,23952.61,23789.03,23849.99,13611.72,13773.3,13590.17,13759.44,30933.51,31056.7,30852.43,31011.41,13383.26,13425.02,13361.22,13385.59,7696.51,7733.12,7696.5,7731.02,1284.05,1285.11,1277.16,1281.64,2751.15,2759.14,2747.86,2751.29,51.776,58.118,51.594,58.078,32.688,34.638,32.453,34.032,1318.22,1321.16,1308.97,1311.86,#N/A N/A,#N/A N/A,#N/A N/A,52.66,92.304,92.64,92.213,92.528
10/1/2018,6688,6693,6637,6685,23832.81,23864.76,23755.45,23788.2,13759.44,13944.63,13747.21,13927.97,31009.24,31267.57,30928.58,31073.72,13355.28,13377.88,13227.57,13281.34,7731.02,7756.11,7716.21,7748.51,1283.72,1284.01,1276.19,1281.47,2745.55,2750.8,2736.06,2748.23,58.118,62.336,56.975,58.033,34.159,35.273,33.666,33.979,1311.88,1327.77,1308.33,1317.89,#N/A N/A,#N/A N/A,#N/A N/A,52.51,92.527,92.56,91.922,92.332
11/1/2018,6683,6737,6673,6735,23656.39,23734.97,23601.84,23710.43,13927.97,13987.37,13833.02,13904.47,31066.21,31133.18,30950.07,31120.39,13281.2,13298.65,13151.84,13202.9,7748.51,7768.96,7734.64,7762.94,1282.01,1286.1,1278.67,1284.74,2752.97,2767.56,2752.78,2767.56,57.483,58.945,55.015,55.605,33.865,34.672,32.582,32.876,1317.88,1323.56,1315.36,1322.31,#N/A N/A,#N/A N/A,#N/A N/A,52.52,92.366,92.546,91.787,91.852
12/1/2018,6733,6785,6713,6784,23719.66,23743.05,23588.07,23653.82,13904.47,14046.98,13899.33,14041.02,31298.05,31412.54,31198.36,31412.54,13241.28,13265.14,13168.01,13245.03,7762.94,7792.56,7752.63,7778.64,1288.94,1289.68,1276.07,1287.44,2770.18,2787.85,2769.64,2786.24,55.889,57.033,54.263,54.63,32.334,32.78,29.768,29.926,1322.32,1333.19,1321.23,1331.93,#N/A N/A,#N/A N/A,#N/A N/A,52.61,91.74,91.879,90.902,90.974
15/1/2018,6733,6785,6713,6784,23827.98,23833.27,23685.02,23714.88,14041.02,14321.63,14041.02,14226.25,31702.56,31733.18,31265.25,31338.87,13244.37,13250.37,13173.71,13200.51,7778.64,7783.61,7763.43,7769.14,1292.22,1298.78,1290.63,1291.78,2770.18,2787.85,2769.64,2786.24,54.447,54.447,54.447,54.447,29.926,29.926,29.926,29.926,1336.84,1344.81,1336.09,1340.16,#N/A N/A,#N/A N/A,#N/A N/A,52.61,90.899,90.942,90.279,90.974
16/1/2018,6793,6855,6740,6772,23721.17,23962.07,23701.83,23951.81,14226.25,14334.26,14167.8,14327.5,31423.62,31904.75,31423.62,31904.75,13228.6,13351.09,13196.56,13246.33,7769.14,7791.83,7740.55,7755.93,1294.02,1295.1,1284.04,1285.85,2798.96,2807.54,2768.64,2776.42,53.584,54.361,51.468,51.879,30.138,30.513,28.47,28.653,1340.16,1342.36,1331.97,1334.75,#N/A N/A,#N/A N/A,#N/A N/A,52.67,90.48,90.826,90.337,90.393
17/1/2018,6769,6844,6757,6834,23783.42,23891.63,23739.17,23868.34,14327.5,14569.65,14245.19,14318.8,31825.52,31983.41,31642.27,31983.41,13200.92,13251.44,13137.51,13183.96,7755.93,7755.93,7711.11,7725.43,1286.91,1299.26,1280.57,1297.84,2784.99,2807.04,2778.38,2802.56,51.512,54.316,50.405,54.316,28.705,29.045,26.42,26.475,1334.76,1344.05,1331.33,1335.96,#N/A N/A,#N/A N/A,#N/A N/A,53,90.258,91.004,90.113,90.541
18/1/2018,6830,6848,6806,6824,24078.93,24084.42,23699.47,23763.37,14318.8,14541.45,14315.28,14454.25,32148.45,32233.81,31869.7,32121.94,13250.25,13293.29,13201.34,13281.43,7725.43,7739.54,7683.71,7700.96,1305.68,1305.85,1289.33,1293.79,2802.4,2805.83,2792.56,2798.03,53.721,58.036,53.537,57.809,26.184,27.912,25.914,27.586,1335.96,1340.54,1324.33,1329.14,#N/A N/A,#N/A N/A,#N/A N/A,53.27,90.903,90.983,90.408,90.498
19/1/2018,6829,6867,6814,6857,23854.11,23872.69,23735.61,23808.06,14454.25,14632.28,14403.1,14476.75,32142.16,32254.89,31986,32254.89,13297.74,13445.47,13294.81,13434.45,7700.96,7731.82,7694.66,7730.79,1294.67,1303.93,1291.27,1302.13,2802.6,2810.33,2798.08,2810.3,57.44,59.449,56.289,59.035,27.875,28.912,26.623,27.204,1329.14,1338.17,1325.58,1331.84,#N/A N/A,#N/A N/A,#N/A N/A,53.57,90.501,90.704,90.155,90.572
22/1/2018,6845,6953,6840,6943,23797.84,23816.33,23697.81,23816.33,14476.75,14630.19,14415.92,14598.28,32276.96,32417.23,32046.84,32393.41,13435.14,13470.05,13410.96,13463.69,7730.79,7739.35,7703.67,7715.44,1301.78,1313.57,1298.87,1312.74,2809.16,2833.03,2808.12,2832.97,58.207,59.205,56.564,58.506,27.099,27.728,25.791,26.106,1335.19,1335.8,1328.51,1332.18,#N/A N/A,#N/A N/A,#N/A N/A,53.68,90.44,90.698,90.347,90.401
23/1/2018,6944,6994,6935,6979,23924.4,24129.34,23916.02,24124.15,14598.28,14851.55,14596.53,14844.58,32606.14,32930.7,32554.23,32930.7,13577.14,13596.89,13517.81,13559.6,7715.44,7745.22,7710.03,7731.83,1317.12,1328.1,1317.03,1326.38,2835.05,2842.24,2830.59,2839.13,58.277,58.877,55.66,57.067,25.896,28.193,25.655,27.956,1332.18,1339.26,1331.26,1337.75,#N/A N/A,#N/A N/A,#N/A N/A,53.9,90.332,90.588,90.063,90.124
24/1/2018,6972,7017,6902,6945,24026.43,24072.77,23917.14,23940.78,14844.58,14939.48,14712.2,14838.1,32907.23,33018.71,32728.51,32958.69,13572.71,13576.84,13414.74,13414.74,7731.83,7731.98,7643.43,7643.43,1324.61,1328.09,1320.72,1323.84,2845.42,2852.97,2824.81,2837.54,56.72,58.71,55.863,56.637,27.766,29.286,27.263,27.991,1337.76,1355.75,1336.82,1353.9,#N/A N/A,#N/A N/A,#N/A N/A,53.36,90.093,90.113,89.158,89.206
25/1/2018,6945,7001,6916,6945,23750.65,23828.4,23649.03,23669.49,14838.1,14846.76,14543.04,14706.82,32979.38,32998.05,32650.22,32654.45,13374.38,13443.36,13222.47,13298.36,7643.43,7662.35,7608.53,7615.84,1325.62,1325.62,1313.25,1316.57,2846.24,2848.56,2830.94,2839.25,56.421,57.242,52.879,52.879,27.886,28.635,25.524,26.37,1353.9,1366.15,1353.31,1362.81,#N/A N/A,#N/A N/A,#N/A N/A,53.54,89.283,89.58,88.438,89.391
26/1/2018,6951,7047,6949,7043,23757.34,23797.96,23592.28,23631.88,14706.82,14876.91,14654.88,14774.37,32836.28,33223.58,32794.13,33154.12,13297.51,13348.69,13268.31,13340.17,7615.84,7667.4,7615.84,7665.54,1325.62,1325.62,1313.25,1316.57,2847.48,2872.87,2846.18,2872.87,53.064,54.277,51.795,53.963,26.159,26.838,24.529,24.961,1362.82,1364.83,1342.55,1349.12,#N/A N/A,#N/A N/A,#N/A N/A,53.43,89.327,89.35,88.723,89.067
29/1/2018,7046,7062,6995,7007,23707.14,23787.23,23580.17,23629.34,14774.37,14851.07,14394.68,14461.8,33335.48,33484.08,32897.04,32966.89,13358.9,13370.02,13274.84,13324.48,7665.54,7689.15,7663.93,7671.53,1318.1,1328.31,1317.94,1322.15,2867.23,2870.62,2851.48,2853.53,53.591,58.178,53.22,57.328,24.77,25.129,23.366,24.667,1350.06,1352.44,1337.71,1341.76,#N/A N/A,#N/A N/A,#N/A N/A,53.06,89.113,89.619,89.007,89.308
30/1/2018,7011,7020,6919,6956,23559.33,23581.98,23233.37,23291.97,14461.8,14480.32,14235.51,14247.78,32751.72,32976.75,32501.35,32607.29,13223.97,13309.86,13171.91,13197.71,7671.53,7671.67,7587.12,7587.98,1321.3,1321.3,1308.2,1310.36,2832.74,2837.75,2818.27,2822.43,57.86,60.491,57.022,59.153,24.463,26.408,24.098,24.888,1341.76,1348.98,1334.54,1338.68,#N/A N/A,#N/A N/A,#N/A N/A,52.43,89.442,89.637,88.912,89.16
31/1/2018,6953,7005,6938,6978,23205.23,23375.38,23092.85,23098.29,14247.78,14471.89,14190.42,14470.6,32435.76,32933.98,32330.39,32887.27,13210.76,13268.41,13159.35,13189.48,7587.98,7599.01,7521.77,7533.55,1306.74,1309.54,1297.61,1303.56,2832.41,2839.26,2813.04,2823.81,59.367,60.303,56.014,56.043,24.725,25.491,21.754,22.796,1338.67,1345.25,1335.84,1339.79,#N/A N/A,#N/A N/A,#N/A N/A,52.24,89.1,89.296,88.78,89.133
1/2/2018,6990,7002,6901,6914,23276.1,23492.77,23211.12,23486.11,14470.6,14544.81,14347.45,14533.45,32950.3,33048.04,32642.09,32642.09,13235.15,13301.41,12971.78,13003.9,7533.55,7554.73,7476.51,7490.39,1305.85,1310.62,1282.71,1300.95,2816.45,2835.96,2812.7,2821.98,56.519,62.873,55.742,62.47,22.084,23.842,21.472,23.345,1339.79,1347.63,1332.82,1341.57,#N/A N/A,#N/A N/A,#N/A N/A,52.23,89.069,89.328,88.555,88.671
2/2/2018,6962,6978,6769,6771,23361.67,23367.96,23122.45,23274.53,14533.45,14576.15,14287.13,14574.01,32569.01,32778.51,32321.42,32601.78,12954.59,12954.59,12782.07,12785.16,7490.39,7494.76,7432.25,7443.43,1289.88,1294.06,1266.76,1268.92,2808.92,2808.92,2759.97,2762.13,62.067,69.768,61.098,69.579,23.262,24.781,22.071,24.383,1341.57,1351.08,1327.46,1333.39,#N/A N/A,#N/A N/A,#N/A N/A,51.27,88.639,89.425,88.591,89.195
5/2/2018,6768,6829,6412,6447,22921.16,22967.69,22659.43,22682.08,14574.01,14650.01,14318.88,14649.55,31715.56,32394.87,31712.02,32245.22,12687.79,12752.6,12622.44,12687.49,7443.43,7443.43,7334.79,7334.98,1250.46,1263.28,1247.48,1259.6,2741.06,2763.39,2638.17,2648.94,69.768,73.161,66.371,67.741,24.783,30.333,24.406,29.854,1331.66,1338.63,1329.08,1334.95,#N/A N/A,#N/A N/A,#N/A N/A,50.93,89.347,89.699,89.021,89.554
6/2/2018,6494,6690,6278,6668,22267,22277.45,21078.71,21610.24,14649.55,14649.55,14170.71,14304.95,31028.68,31286.03,30577.83,30595.42,12232.86,12550.16,12232.86,12392.66,7334.98,7334.98,7079.41,7141.4,1225.15,1248.16,1211.48,1237.79,2614.78,2701.04,2593.07,2695.14,69.585,71.142,66.615,69.056,29.944,34.155,25.856,26.234,1334.95,1346.21,1326.15,1327.82,#N/A N/A,#N/A N/A,#N/A N/A,50.68,89.616,90.034,89.373,89.585
7/2/2018,6671,6733,6547,6571,22001.29,22353.87,21627.13,21645.37,14304.95,14532.81,13804.94,13822.4,31378.35,31472.47,30292.15,30323.2,12478.68,12651.28,12414.84,12590.43,7141.4,7311.5,7141.4,7279.42,1251.4,1251.4,1233.66,1236.97,2690.95,2727.67,2681.33,2681.66,69.056,71.493,67.517,71.029,25.983,28.408,25.797,27.618,1327.83,1332.36,1314.91,1315.97,#N/A N/A,#N/A N/A,#N/A N/A,49.95,89.62,90.4,89.468,90.255
8/2/2018,6561,6631,6316,6331,21721.57,21977.03,21649.7,21890.86,13822.4,13848.49,13399.05,13540.57,30555.8,30739.11,30251.32,30451.27,12506.18,12541.32,12187.45,12260.29,7279.42,7279.42,7161.31,7170.69,1241.99,1258.79,1238.67,1252.53,2685.01,2685.27,2580.56,2581,71.137,74.235,69.168,71.858,27.864,30.699,26.948,30.347,1315.97,1322.23,1307.17,1319.97,#N/A N/A,#N/A N/A,#N/A N/A,49.98,90.244,90.567,90.013,90.229
9/2/2018,6350,6466,6184,6432,21507.74,21510.3,21119.01,21382.62,13540.57,13540.57,12548.08,12951,29679.21,29679.21,29129.26,29507.42,12263.1,12296.18,12003.36,12107.48,7170.69,7170.69,7073.03,7092.43,1233.2,1242.99,1230.99,1240.3,2601.78,2638.67,2532.69,2619.55,71.045,78.572,70.686,77.394,29.57,32.635,28.671,30.655,1319.97,1322.81,1311.25,1316.65,#N/A N/A,#N/A N/A,#N/A N/A,49.44,90.276,90.563,90.119,90.442
12/2/2018,6456,6582,6429,6548,21507.74,21510.3,21119.01,21382.62,12951,13099.79,12840.45,13016.46,29713.08,29801.52,29459.63,29459.63,12238.63,12379.16,12222.34,12282.77,7092.43,7199.93,7092.43,7177.06,1242.18,1252.73,1242.18,1251.02,2636.75,2672.61,2622.45,2656,76.799,78.842,74.845,77.907,29.9,30.395,26.844,28.361,1315.05,1326.8,1314.28,1324.78,#N/A N/A,#N/A N/A,#N/A N/A,49.67,90.352,90.432,90.073,90.208
13/2/2018,6550,6586,6493,6577,21633.34,21679.2,21211.53,21244.68,13016.46,13425.85,13016.46,13236.22,29850.15,30169,29783.1,29839.53,12282.76,12300.63,12196.22,12196.5,7177.06,7202.99,7165.83,7168.01,1242.18,1252.73,1242.18,1251.02,2646.27,2668.84,2637.08,2662.94,77.158,77.294,71.744,72.335,28.594,29.488,27.903,27.985,1324.78,1331.1,1321.35,1327.42,#N/A N/A,#N/A N/A,#N/A N/A,50.36,90.133,90.177,89.609,89.703
14/2/2018,6579,6709,6478,6704,21251.24,21371.01,20950.15,21154.17,13236.22,13377.63,13193.98,13353.5,30024.47,30637.23,29968.54,30515.6,12294.85,12393.71,12075.21,12339.16,7168.01,7243.15,7145.73,7213.97,1256.76,1257.06,1242.52,1247.57,2651.21,2702.1,2648.87,2698.63,72.107,74.63,70.415,73.445,28.049,28.628,25.374,25.722,1327.43,1349.43,1317.91,1349.23,#N/A N/A,#N/A N/A,#N/A N/A,50.35,89.69,90.124,88.944,89.121
15/2/2018,6698,6844,6689,6834,21384.1,21578.99,21308.92,21464.98,13236.22,13377.63,13193.98,13353.5,30958.71,31145.1,30816.65,31115.43,12425.45,12479.97,12275.04,12346.17,7213.97,7267.96,7206.69,7234.81,1252.67,1261.76,1248.12,1251.5,2713.46,2731.51,2689.82,2731.2,72.989,74.113,69.958,72.101,25.026,25.871,23.028,25.237,1349.23,1357.2,1348.67,1351.36,#N/A N/A,#N/A N/A,#N/A N/A,50.29,88.97,89.004,88.544,88.593
16/2/2018,6832,6875,6783,6806,21555.99,21866.37,21499.88,21720.25,13236.22,13377.63,13193.98,13353.5,30958.71,31145.1,30816.65,31115.43,12408.48,12484.12,12368.71,12451.96,7234.81,7307.97,7234.81,7294.7,1258.5,1259.95,1237.13,1239.76,2727.14,2754.42,2725.11,2732.22,71.279,71.279,66.13,68.132,25.072,26.685,24.195,25.398,1351.36,1361.82,1344.87,1346.96,#N/A N/A,#N/A N/A,#N/A N/A,50.58,88.574,89.226,88.253,89.1
19/2/2018,6832,6875,6783,6806,21903.66,22152.85,21858.33,22149.21,13236.22,13377.63,13193.98,13353.5,30958.71,31145.1,30816.65,31115.43,12495.07,12505.49,12361.86,12385.6,7294.7,7306.21,7239.98,7247.66,1243.88,1243.88,1220.32,1230.26,2727.14,2754.42,2725.11,2732.22,68.132,68.132,68.132,68.132,25.481,25.481,25.481,25.481,1347.65,1351.47,1345.9,1346.74,#N/A N/A,#N/A N/A,#N/A N/A,50.58,89.099,89.442,88.955,89.1
20/2/2018,6814,6863,6745,6811,22054.32,22063.87,21831.45,21925.1,13236.22,13377.63,13193.98,13353.5,31165.29,31339.69,30720.48,30873.63,12403.63,12496.1,12333.79,12487.9,7247.66,7264.78,7202.14,7246.77,1231.8,1238.4,1228.51,1230.77,2722.99,2737.6,2706.76,2716.26,66.927,68.862,65.939,66.669,24.368,26.542,23.978,26.242,1346.74,1348.3,1329.34,1329.53,#N/A N/A,#N/A N/A,#N/A N/A,51.18,89.24,89.802,89.217,89.716
21/2/2018,6807,6902,6764,6781,21942.42,22130.58,21836.73,21970.81,13236.22,13377.63,13193.98,13353.5,31050.52,31477.85,30885.95,31431.89,12457.22,12474.37,12372.26,12470.49,7246.77,7291.8,7220.55,7281.57,1239.27,1239.27,1228.71,1234.41,2720.53,2747.75,2701.29,2701.33,65.84,68.176,61.621,67.993,26.242,28.427,25.471,26.858,1329.54,1333.04,1325.24,1329.71,#N/A N/A,#N/A N/A,#N/A N/A,51.22,89.707,90.155,89.588,90
22/2/2018,6776,6852,6717,6810,21789.88,21799.4,21626.85,21736.44,13353.5,13669.25,13353.5,13640.6,31084.45,31195.27,30930.1,30965.68,12358.82,12497.71,12283.7,12461.91,7281.57,7281.57,7187.76,7252.39,1230.03,1233.1,1227.26,1230.31,2710.42,2731.26,2697.77,2703.96,67.66,68.284,64.401,67.071,27.005,28.915,26.3,28.365,1329.71,1336.31,1321.04,1330.11,#N/A N/A,#N/A N/A,#N/A N/A,51.36,90.158,90.235,89.635,89.736
23/2/2018,6808,6934,6805,6931,21789.72,21903.39,21741.63,21892.78,13640.6,13796.81,13602.95,13742.76,31289.08,31386.81,31149.32,31267.17,12491.77,12513.32,12431.94,12483.79,7252.39,7262.05,7220.81,7244.41,1233.87,1243.92,1232.55,1242.98,2715.8,2747.76,2713.74,2747.3,67.437,67.769,62.217,62.4,28.082,29.597,27.935,28.587,1330.11,1332.54,1325.9,1328.71,#N/A N/A,#N/A N/A,#N/A N/A,52.15,89.818,90.059,89.757,89.883
26/2/2018,6941,7031,6915,7024,22134.64,22226.53,22040.87,22153.63,13742.76,13875.94,13610.58,13812.26,31528.29,31567.46,31273.95,31498.6,12566.05,12601.46,12484.59,12527.04,7244.41,7312.98,7244.31,7289.58,1247.43,1253.82,1246.62,1252.39,2757.37,2780.64,2753.78,2779.6,62.728,63.826,60.693,63.643,28.37,30.027,28.157,28.885,1328.25,1341.06,1326.66,1332.46,#N/A N/A,#N/A N/A,#N/A N/A,52.76,89.962,90.05,89.503,89.853
27/2/2018,7023,7032,6929,6940,22391.67,22502.05,22325.07,22389.86,13812.26,13846.35,13518.72,13553.83,31790.85,31798.98,31141.52,31268.66,12573.65,12577.56,12436.13,12490.73,7289.58,7326.02,7272.87,7282.45,1255.85,1259.61,1247.77,1250.48,2780.45,2789.15,2744.22,2744.28,63.461,65.399,62.515,63.118,28.985,29.543,26.073,26.256,1332.46,1336.8,1313.55,1315.61,#N/A N/A,#N/A N/A,#N/A N/A,52.37,89.748,90.498,89.693,90.355
28/2/2018,6940,6996,6884,6891,22292.53,22380.28,22068.24,22068.24,13553.83,13553.83,13283.71,13343.01,31037.41,31061.76,30703.9,30844.72,12427.46,12516.92,12417.96,12435.85,7282.45,7293.36,7231.91,7231.91,1243.92,1249.45,1240.28,1243.58,2753.78,2761.52,2713.54,2713.83,63.1,63.613,60.398,60.655,25.973,26.492,25.234,26.184,1315.61,1322.55,1315.13,1319.32,#N/A N/A,#N/A N/A,#N/A N/A,50.83,90.393,90.698,90.308,90.613
1/3/2018,6902,6924,6716,6786,21901.13,21901.13,21645.22,21724.47,13343.01,13497.19,13221.6,13419.54,30476.99,31081.68,30453.82,31044.25,12386.4,12387.88,12143.14,12190.94,7231.91,7231.91,7153.39,7175.64,1243.03,1247.64,1238.61,1239.53,2715.22,2730.89,2659.65,2677.67,60.436,60.838,58.004,59.408,26.329,28.9,25.816,27.462,1319.33,1320.04,1302.89,1309.82,#N/A N/A,#N/A N/A,#N/A N/A,50.52,90.725,90.932,90.207,90.324
2/3/2018,6792,6846,6674,6829,21339.98,21366.09,21088.96,21181.64,13419.54,13419.54,13241.7,13299.8,30611.1,30670.94,30477.95,30583.45,12051.89,12081.4,11877.66,11913.71,7175.64,7175.64,7063.42,7069.9,1243.03,1247.64,1238.61,1239.53,2658.89,2696.25,2647.32,2691.25,59.531,62.469,57.838,62.045,27.874,28.898,26.897,27.373,1309.83,1325.49,1304.02,1322.75,#N/A N/A,#N/A N/A,#N/A N/A,50.55,90.246,90.293,89.879,89.935
5/3/2018,6825,6929,6768,6903,21047.81,21164.38,20937.26,21042.09,13299.8,13427.9,13209.35,13287.9,30524.26,30679.47,29852.42,29886.39,11831.57,12110.18,11830.98,12090.87,7069.9,7119.21,7062.13,7115.98,1235.93,1235.93,1220.76,1225.83,2681.06,2728.09,2675.75,2720.94,61.635,64.59,59.678,63.897,27.882,28.76,26.715,27.045,1322.84,1327.83,1318.7,1319.33,#N/A N/A,#N/A N/A,#N/A N/A,51.28,89.834,90.216,89.833,90.08
6/3/2018,6908,6965,6898,6933,21390.2,21551.14,21381.42,21417.76,13287.9,13436.19,13170.21,13432.88,30380.96,30620.06,30129.8,30510.73,12229.29,12259.58,12110.34,12113.87,7115.98,7197.8,7115.6,7146.75,1234.01,1236.03,1210.06,1214.32,2730.18,2732.08,2711.26,2728.12,63.714,64.701,61.669,63.235,26.98,27.387,25.431,26.494,1319.33,1338.58,1317.61,1332.94,#N/A N/A,#N/A N/A,#N/A N/A,51.35,89.96,90.061,89.435,89.618
7/3/2018,6894,6962,6827,6949,21261.96,21484.08,21201.94,21252.72,13432.88,13575.32,13321.09,13356.91,30323.77,30673.08,30117.4,30196.92,12060.09,12275.69,12020.61,12245.36,7146.75,7180.71,7109.56,7157.84,1212.92,1214.28,1200.45,1201.88,2710.18,2730.6,2701.74,2726.8,61.87,63.076,60.878,62.873,27.406,27.705,26.291,26.527,1332.94,1340.59,1322.81,1325.83,#N/A N/A,#N/A N/A,#N/A N/A,50.75,89.5,89.779,89.407,89.637
8/3/2018,6950,7003,6939,7000,21488.16,21488.16,21299.4,21368.07,13356.91,13519.99,13326.23,13511.96,30523.68,30724.03,30428.61,30654.52,12237.94,12382.69,12177.12,12355.57,7157.84,7212.14,7145.7,7203.24,1205.94,1213.66,1198.86,1210.21,2732.75,2740.45,2722.65,2738.97,62.873,63.136,59.951,60.317,26.445,27.653,25.936,26.289,1325.83,1329.08,1319.11,1321.86,#N/A N/A,#N/A N/A,#N/A N/A,50.76,89.582,90.232,89.442,90.179
9/3/2018,7000,7130,6988,7125,21594.22,21884.45,21357.55,21469.2,13511.96,13612.78,13505.62,13575.69,30858.27,30996.21,30840.8,30996.21,12331.64,12407.98,12284.57,12346.68,7203.24,7225.28,7189.74,7224.51,1214.29,1218.4,1207.56,1209.58,2752.91,2786.57,2751.54,2786.57,60.193,63.355,59.79,63.172,25.994,27.205,25.357,26.245,1321.86,1325.25,1312.96,1323.93,#N/A N/A,#N/A N/A,#N/A N/A,51.73,90.154,90.357,89.998,90.093
12/3/2018,7135,7186,7126,7167,21826.1,21971.16,21689.97,21824.03,13575.69,13683.38,13524.59,13570.3,31536.3,31607.58,31342.48,31594.33,12453.3,12454.96,12361.01,12418.39,7224.51,7254.87,7198.18,7214.76,1218.97,1232.43,1218.38,1231.08,2790.54,2796.98,2779.26,2783.02,63.089,63.684,59.834,60.2,25.99,26.301,25.04,26.005,1323.84,1324.38,1315.18,1320.61,#N/A N/A,#N/A N/A,#N/A N/A,51.63,90.105,90.187,89.84,89.895
13/3/2018,7163,7216,7053,7085,21742.45,21968.1,21700.78,21968.1,13570.3,13621.2,13430.98,13452.9,31570.2,31709.99,31461.47,31601.45,12425.69,12459.9,12162.47,12221.03,7214.76,7224.13,7125.6,7138.78,1227.21,1238.96,1226.81,1235.66,2792.31,2801.9,2758.68,2765.31,60.567,61.344,57.549,58.461,25.557,26.842,24.886,25.372,1320.61,1328.36,1314.17,1326.78,#N/A N/A,#N/A N/A,#N/A N/A,51.52,89.9,90.112,89.591,89.664
14/3/2018,7065,7123,7039,7060,21764.99,21881.09,21684.02,21777.29,13452.9,13453.61,13352.27,13399.64,31321.79,31453.48,31141.85,31435.01,12212.49,12322.89,12202.76,12237.74,7138.78,7176.51,7122.76,7132.69,1231.71,1235.39,1226.54,1234.25,2774.06,2777.11,2744.38,2749.48,58.279,58.279,54.771,55.5,25.391,25.574,23.671,23.79,1326.78,1330.11,1321.55,1324.79,#N/A N/A,#N/A N/A,#N/A N/A,51.66,89.694,89.891,89.561,89.704
