Country Name,Country Code,2020_gdp,2021_gdp,2022_gdp,2020_case,2021_case,2022_case
Bhutan,BTN,3009.925515909761,3266.362773712857,,,1893.0,10875.0
Botswana,BWA,5875.070605712816,7238.79609591086,7737.654681125886,14630.0,204704.0,44441.0
Central African Republic,CAF,435.46924817002485,461.1375109285186,427.058096252078,4484.0,7200.0,2062.0
Canada,CAN,43349.67785555699,52358.62164051552,54966.48883610884,590021.0,1633055.0,1090119.0
Switzerland,CHE,85656.32266630701,91991.60045835626,92101.46974143822,452182.0,862984.0,1489045.0
Chile,CHL,13165.386342985808,16247.40101507649,15355.506496540564,608381.0,1196535.0,1291616.0
China,CHN,10408.719124774723,12617.504986300362,12720.215639761242,86525.0,15248.0,7506.0
Cote d'Ivoire,CIV,2349.0698820003204,2613.378893053776,2486.4121939377683,22423.0,48514.0,10514.0
Cameroon,CMR,1539.13054650019,1666.9328094823177,1588.4787233869597,26138.0,83090.0,9873.0
Colombia,COL,5304.289128866366,6182.707098679686,6630.282726080538,1642579.0,3514665.0,909583.0
Comoros,COM,1519.5867798163645,1577.4708406611785,1484.8924647254976,717.0,5692.0,1490.0
Costa Rica,CRI,12179.256674237702,12537.25674617532,13198.82171680974,169204.0,401235.0,240484.0
Cyprus,CYP,28035.984375,31552.03515625,31283.505859375,22230.0,144481.0,159784.0
Czechia,CZE,22992.87938333477,26822.514186211123,27638.37327562882,716363.0,1759471.0,1123805.0
Germany,DEU,46772.82535075367,51203.554473104334,48432.455873259634,1742611.0,5444167.0,7981190.0
Djibouti,DJI,2917.9962809563044,3050.306281637324,3136.112960319343,5696.0,7825.0,1891.0
Denmark,DNK,60915.42439954616,68007.75667329543,66983.1320017138,162600.0,620341.0,2001460.0
Dominican Republic,DOM,7167.914932057866,8476.7496882797,10120.551163296872,170673.0,247993.0,156379.0
Algeria,DZA,3354.1573026511446,3700.3111946085655,4273.922183115151,99471.0,118822.0,46647.0
Ecuador,ECU,5645.199289653324,5965.132870544159,6391.282484306427,223467.0,335679.0,283873.0
Eritrea,ERI,,,,513.0,6691.0,1694.0
Spain,ESP,26959.675436732177,30103.513733190997,29350.16852144808,1935072.0,4440910.0,4760143.0
Estonia,EST,23595.243683643675,27943.701219882027,28332.62909179844,27614.0,213418.0,257777.0
Ethiopia,ETH,918.6525940774184,925.000697216762,1027.585918282252,124159.0,296078.0,48444.0
Finland,FIN,49169.71933884903,53489.75201908984,50536.6244670541,36307.0,234407.0,387730.0
Fiji,FJI,4864.106007713068,4646.537921419187,5316.65838506043,,53073.0,10667.0
France,FRA,39055.28292807473,43658.97897812225,40963.83733704103,2719040.0,7706191.0,12760419.0
Gabon,GAB,6680.08267035331,8635.797143749498,8820.347338100239,9463.0,32227.0,5745.0
United Kingdom,GBR,40318.41692250549,46585.897564456674,45850.4261222629,2491496.0,10480124.0,5156414.0
Georgia,GEO,4255.742993212536,5023.274383689845,6627.70698037798,227265.0,707321.0,681418.0
Ghana,GHA,2176.576218029424,2410.877308581657,2175.8597696701117,54639.0,88215.0,16905.0
Guinea,GIN,1073.659338958898,1189.1759994663578,1531.6564754939434,13359.0,18329.0,4346.0
Guinea-Bissau,GNB,710.2581329770554,795.118605034735,775.8289657346821,2247.0,4032.0,1543.0
Equatorial Guinea,GNQ,6327.598961923387,7506.667861037094,7053.467084647708,5063.0,8433.0,2175.0
Greece,GRC,17658.94730111891,20192.596303906077,20732.05221905372,138660.0,1072003.0,1243576.0
Grenada,GRD,8437.536782312503,9010.5127999358,10016.20868624488,,6054.0,7526.0
Guatemala,GTM,4609.897257528689,5029.477338082677,5473.208741041025,137886.0,490145.0,155665.0
Guyana,GUY,6863.074345930166,9998.544311361557,18989.790198835457,6228.0,33241.0,23398.0
Honduras,HND,2354.121480101052,2771.722616452472,3040.1730796018155,121737.0,257575.0,33331.0
Croatia,HRV,14236.535245464223,17747.789286210664,18413.234682055718,210732.0,504408.0,343208.0
Haiti,HTI,1283.1412278466732,1823.7422244079576,1748.2571323472744,9899.0,15940.0,4095.0
Hungary,HUN,16125.609408540726,18772.141111758065,18463.208524969938,322411.0,933901.0,536705.0
Indonesia,IDN,3895.618152050948,4334.215982603137,4787.999307651344,743081.0,3519522.0,1367376.0
India,IND,1913.219721034926,2238.127138733113,2388.6211977676166,10286521.0,24482579.0,8083581.0
Ireland,IRL,85420.19085560819,100172.07925342052,104038.94607629598,90750.0,699256.0,524035.0
Iraq,IRQ,4251.337252728084,4770.835342747385,5937.19546600271,595190.0,1498449.0,211343.0
Iceland,ISL,58813.79698308757,68594.00810444262,72902.97995384988,5345.0,21306.0,105541.0
Israel,ISR,44846.79159548156,52166.812164713374,54659.75396431898,422876.0,960986.0,2267292.0
Italy,ITA,31918.69349337728,35770.049612085786,34157.99012246404,2106582.0,4018517.0,6742235.0
Jamaica,JAM,4897.264770199556,5183.581100288485,6047.216464309358,12702.0,81093.0,34159.0
Jordan,JOR,3987.650173994112,4046.931467106716,4204.5056396769205,294392.0,768911.0,574823.0
Japan,JPN,39986.92862870905,39827.12676781789,33815.31727337993,235637.0,1496547.0,3411522.0
Kazakhstan,KAZ,9121.63640167864,10373.789792436706,11243.671225638578,201085.0,926319.0,318759.0
Kenya,KEN,1936.2507516604503,2069.661136514177,2099.301938266964,96348.0,198570.0,27974.0
Cambodia,KHM,1577.9117399324325,1625.235021513797,1786.5608185852416,,119330.0,10511.0
Kiribati,KIR,1403.9937381592115,1766.143944971882,1701.9701230523349,,,1002.0
Kuwait,KWT,24297.70114145009,32186.76540767341,43233.48909389839,150167.0,266551.0,203845.0
Lebanon,LBN,5599.957522607335,4136.146575160125,,181393.0,546427.0,344607.0
Liberia,LBR,597.5296918930478,675.6631858491597,754.5328768598375,1699.0,4601.0,1106.0
Libya,LBY,7034.658364511659,5908.9513231651,6716.095984623283,99956.0,288457.0,107238.0
Sri Lanka,LKA,3852.3899675542098,3994.246957905597,3354.383407575649,43193.0,543946.0,60454.0
Lesotho,LSO,939.5042490567693,1040.308622707742,1107.3952979082103,2960.0,25314.0,4204.0
Lithuania,LTU,20363.92440500836,23712.5357765275,24826.7910371972,141827.0,377642.0,389036.0
Luxembourg,LUX,117370.49690015952,133590.14697558613,126426.08993432224,47608.0,57351.0,81096.0
Latvia,LVA,18207.13964086278,21080.177449183884,21851.10520126965,40446.0,235770.0,396544.0
Morocco,MAR,3258.10498046875,3795.38696289063,3527.94189453125,439078.0,523899.0,198198.0
Moldova,MDA,4376.242493183393,5235.63604416292,5562.613625346679,144709.0,230962.0,126801.0
Madagascar,MDG,462.4042288006701,503.35208114481054,505.0355276431232,17431.0,32565.0,13380.0
Maldives,MDV,7282.372916246231,10366.256780018268,11817.52393288032,13507.0,81943.0,75414.0
Mexico,MEX,8654.997325169576,10045.676371041029,11091.305430253762,1397861.0,2546712.0,1542021.0
North Macedonia,MKD,5965.450231953645,6694.641125817087,6591.471292290303,83214.0,141720.0,73146.0
Mali,MLI,822.9061375231398,881.5100886397989,833.297255208972,6985.0,13918.0,9383.0
